"","subject","item","Rating","Anim","Trans"
"142",3,"46",1,"inverse",2
"143",3,"47",7,"inverse",2
"144",3,"48",7,"inverse",2
"145",4,"1",7,"basic",9
"146",4,"2",7,"basic",9
"147",4,"3",7,"basic",9
"148",4,"4",7,"inverse",9
"149",4,"5",7,"inverse",9
"150",4,"6",7,"inverse",9
"151",4,"7",7,"basic",8
"152",4,"8",7,"basic",8
"153",4,"9",7,"basic",8
"154",4,"10",7,"inverse",8
"155",4,"11",7,"inverse",8
"156",4,"12",6,"inverse",8
"157",4,"13",7,"basic",7
"158",4,"14",7,"basic",7
"159",4,"15",5,"basic",7
"160",4,"16",5,"inverse",7
"161",4,"17",6,"inverse",7
"162",4,"18",7,"inverse",7
"163",4,"19",7,"basic",6
"164",4,"20",7,"basic",6
"165",4,"21",7,"basic",6
"166",4,"22",7,"inverse",6
"167",4,"23",7,"inverse",6
"168",4,"24",7,"inverse",6
"169",4,"25",7,"basic",5
"170",4,"26",7,"basic",5
"171",4,"27",7,"basic",5
"172",4,"28",7,"inverse",5
"173",4,"29",7,"inverse",5
"174",4,"30",7,"inverse",5
"175",4,"31",7,"basic",4
"176",4,"32",7,"basic",4
"177",4,"33",7,"basic",4
"178",4,"34",7,"inverse",4
"179",4,"35",7,"inverse",4
"180",4,"36",7,"inverse",4
"181",4,"37",7,"basic",3
"182",4,"38",7,"basic",3
"183",4,"39",7,"basic",3
"184",4,"40",7,"inverse",3
"185",4,"41",7,"inverse",3
"186",4,"42",7,"inverse",3
"187",4,"43",7,"basic",2
"188",4,"44",7,"basic",2
"189",4,"45",7,"basic",2
"190",4,"46",7,"inverse",2
"191",4,"47",7,"inverse",2
"192",4,"48",7,"inverse",2
"193",5,"1",7,"basic",9
"194",5,"2",7,"basic",9
"195",5,"3",7,"basic",9
"196",5,"4",7,"inverse",9
"197",5,"5",6,"inverse",9
"198",5,"6",6,"inverse",9
"199",5,"7",7,"basic",8
"200",5,"8",7,"basic",8
"201",5,"9",7,"basic",8
"202",5,"10",7,"inverse",8
"203",5,"11",7,"inverse",8
"204",5,"12",7,"inverse",8
"205",5,"13",7,"basic",7
"206",5,"14",7,"basic",7
"207",5,"15",7,"basic",7
"208",5,"16",5,"inverse",7
"209",5,"17",7,"inverse",7
"210",5,"18",7,"inverse",7
"211",5,"19",7,"basic",6
"212",5,"20",7,"basic",6
"213",5,"21",7,"basic",6
"214",5,"22",7,"inverse",6
"215",5,"23",6,"inverse",6
"216",5,"24",7,"inverse",6
"217",5,"25",7,"basic",5
"218",5,"26",7,"basic",5
"219",5,"27",6,"basic",5
"220",5,"28",7,"inverse",5
"221",5,"29",7,"inverse",5
"222",5,"30",7,"inverse",5
"223",5,"31",7,"basic",4
"224",5,"32",7,"basic",4
"225",5,"33",4,"basic",4
"226",5,"34",7,"inverse",4
"227",5,"35",7,"inverse",4
"228",5,"36",7,"inverse",4
"229",5,"37",7,"basic",3
"230",5,"38",7,"basic",3
"231",5,"39",7,"basic",3
"232",5,"40",7,"inverse",3
"233",5,"41",7,"inverse",3
"234",5,"42",7,"inverse",3
"235",5,"43",7,"basic",2
"236",5,"44",7,"basic",2
"237",5,"45",7,"basic",2
"238",5,"46",7,"inverse",2
"239",5,"47",7,"inverse",2
"240",5,"48",7,"inverse",2
"241",6,"1",5,"basic",9
"242",6,"2",5,"basic",9
"243",6,"3",4,"basic",9
"244",6,"4",3,"inverse",9
"245",6,"5",2,"inverse",9
"246",6,"6",2,"inverse",9
"247",6,"7",3,"basic",8
"248",6,"8",3,"basic",8
"249",6,"9",3,"basic",8
"250",6,"10",5,"inverse",8
"251",6,"11",2,"inverse",8
"252",6,"12",2,"inverse",8
"253",6,"13",6,"basic",7
"254",6,"14",2,"basic",7
"255",6,"15",2,"basic",7
"256",6,"16",2,"inverse",7
"257",6,"17",4,"inverse",7
"258",6,"18",6,"inverse",7
"259",6,"19",4,"basic",6
"260",6,"20",6,"basic",6
"261",6,"21",5,"basic",6
"262",6,"22",2,"inverse",6
"263",6,"23",2,"inverse",6
"264",6,"24",4,"inverse",6
"265",6,"25",4,"basic",5
"266",6,"26",5,"basic",5
"267",6,"27",2,"basic",5
"268",6,"28",3,"inverse",5
"269",6,"29",4,"inverse",5
"270",6,"30",5,"inverse",5
"271",6,"31",4,"basic",4
"272",6,"32",5,"basic",4
"273",6,"33",2,"basic",4
"274",6,"34",3,"inverse",4
"275",6,"35",6,"inverse",4
"276",6,"36",3,"inverse",4
"277",6,"37",6,"basic",3
"278",6,"38",5,"basic",3
"279",6,"39",4,"basic",3
"280",6,"40",2,"inverse",3
"281",6,"41",6,"inverse",3
"282",6,"42",6,"inverse",3
"283",6,"43",4,"basic",2
"284",6,"44",5,"basic",2
"285",6,"45",5,"basic",2
"286",6,"46",4,"inverse",2
"287",6,"47",2,"inverse",2
"288",6,"48",2,"inverse",2
"289",7,"1",7,"basic",9
"290",7,"2",7,"basic",9
"291",7,"3",7,"basic",9
"292",7,"4",7,"inverse",9
"293",7,"5",5,"inverse",9
"294",7,"6",5,"inverse",9
"295",7,"7",7,"basic",8
"296",7,"8",7,"basic",8
"297",7,"9",7,"basic",8
"298",7,"10",7,"inverse",8
"299",7,"11",7,"inverse",8
"300",7,"12",6,"inverse",8
"301",7,"13",7,"basic",7
"302",7,"14",7,"basic",7
"303",7,"15",5,"basic",7
"304",7,"16",4,"inverse",7
"305",7,"17",5,"inverse",7
"306",7,"18",4,"inverse",7
"307",7,"19",7,"basic",6
"308",7,"20",6,"basic",6
"309",7,"21",7,"basic",6
"310",7,"22",7,"inverse",6
"311",7,"23",4,"inverse",6
"312",7,"24",7,"inverse",6
"313",7,"25",6,"basic",5
"314",7,"26",7,"basic",5
"315",7,"27",7,"basic",5
"316",7,"28",4,"inverse",5
"317",7,"29",7,"inverse",5
"318",7,"30",6,"inverse",5
"319",7,"31",7,"basic",4
"320",7,"32",7,"basic",4
"321",7,"33",6,"basic",4
"322",7,"34",7,"inverse",4
"323",7,"35",6,"inverse",4
"324",7,"36",7,"inverse",4
"325",7,"37",7,"basic",3
"326",7,"38",7,"basic",3
"327",7,"39",6,"basic",3
"328",7,"40",3,"inverse",3
"329",7,"41",7,"inverse",3
"330",7,"42",6,"inverse",3
"331",7,"43",6,"basic",2
"332",7,"44",6,"basic",2
"333",7,"45",7,"basic",2
"334",7,"46",7,"inverse",2
"335",7,"47",6,"inverse",2
"336",7,"48",7,"inverse",2
"337",8,"1",6,"basic",9
"338",8,"2",7,"basic",9
"339",8,"3",6,"basic",9
"340",8,"4",7,"inverse",9
"341",8,"5",5,"inverse",9
"342",8,"6",6,"inverse",9
"343",8,"7",7,"basic",8
"344",8,"8",5,"basic",8
"345",8,"9",6,"basic",8
"346",8,"10",6,"inverse",8
"347",8,"11",6,"inverse",8
"348",8,"12",5,"inverse",8
"349",8,"13",5,"basic",7
"350",8,"14",6,"basic",7
"351",8,"15",5,"basic",7
"352",8,"16",4,"inverse",7
"353",8,"17",5,"inverse",7
"354",8,"18",5,"inverse",7
"355",8,"19",7,"basic",6
"356",8,"20",5,"basic",6
"357",8,"21",6,"basic",6
"358",8,"22",5,"inverse",6
"359",8,"23",5,"inverse",6
"360",8,"24",7,"inverse",6
"361",8,"25",6,"basic",5
"362",8,"26",7,"basic",5
"363",8,"27",7,"basic",5
"364",8,"28",5,"inverse",5
"365",8,"29",6,"inverse",5
"366",8,"30",6,"inverse",5
"367",8,"31",6,"basic",4
"368",8,"32",7,"basic",4
"369",8,"33",5,"basic",4
"370",8,"34",7,"inverse",4
"371",8,"35",7,"inverse",4
"372",8,"36",7,"inverse",4
"373",8,"37",7,"basic",3
"374",8,"38",7,"basic",3
"375",8,"39",5,"basic",3
"376",8,"40",3,"inverse",3
"377",8,"41",7,"inverse",3
"378",8,"42",7,"inverse",3
"379",8,"43",7,"basic",2
"380",8,"44",7,"basic",2
"381",8,"45",7,"basic",2
"382",8,"46",7,"inverse",2
"383",8,"47",6,"inverse",2
"384",8,"48",5,"inverse",2
"385",9,"1",7,"basic",9
"386",9,"2",7,"basic",9
"387",9,"3",6,"basic",9
"388",9,"4",7,"inverse",9
"389",9,"5",7,"inverse",9
"390",9,"6",6,"inverse",9
"391",9,"7",7,"basic",8
"392",9,"8",7,"basic",8
"393",9,"9",6,"basic",8
"394",9,"10",7,"inverse",8
"395",9,"11",7,"inverse",8
"396",9,"12",7,"inverse",8
"397",9,"13",7,"basic",7
"398",9,"14",6,"basic",7
"399",9,"15",6,"basic",7
"400",9,"16",5,"inverse",7
"401",9,"17",7,"inverse",7
"402",9,"18",5,"inverse",7
"403",9,"19",7,"basic",6
"404",9,"20",7,"basic",6
"405",9,"21",7,"basic",6
"406",9,"22",7,"inverse",6
"407",9,"23",5,"inverse",6
"408",9,"24",7,"inverse",6
"409",9,"25",7,"basic",5
"410",9,"26",7,"basic",5
"411",9,"27",7,"basic",5
"412",9,"28",6,"inverse",5
"413",9,"29",7,"inverse",5
"414",9,"30",7,"inverse",5
"415",9,"31",7,"basic",4
"416",9,"32",7,"basic",4
"417",9,"33",7,"basic",4
"418",9,"34",7,"inverse",4
"419",9,"35",7,"inverse",4
"420",9,"36",7,"inverse",4
"421",9,"37",7,"basic",3
"422",9,"38",7,"basic",3
"423",9,"39",6,"basic",3
"424",9,"40",6,"inverse",3
"425",9,"41",7,"inverse",3
"426",9,"42",7,"inverse",3
"427",9,"43",7,"basic",2
"428",9,"44",7,"basic",2
"429",9,"45",7,"basic",2
"430",9,"46",7,"inverse",2
"431",9,"47",7,"inverse",2
"432",9,"48",6,"inverse",2
"433",10,"1",3,"basic",9
"434",10,"2",6,"basic",9
"435",10,"3",5,"basic",9
"436",10,"4",4,"inverse",9
"437",10,"5",3,"inverse",9
"438",10,"6",1,"inverse",9
"439",10,"7",2,"basic",8
"440",10,"8",7,"basic",8
"441",10,"9",3,"basic",8
"442",10,"10",5,"inverse",8
"443",10,"11",2,"inverse",8
"444",10,"12",3,"inverse",8
"445",10,"13",6,"basic",7
"446",10,"14",2,"basic",7
"447",10,"15",3,"basic",7
"448",10,"16",4,"inverse",7
"449",10,"17",2,"inverse",7
"450",10,"18",3,"inverse",7
"451",10,"19",7,"basic",6
"452",10,"20",7,"basic",6
"453",10,"21",4,"basic",6
"454",10,"22",5,"inverse",6
"455",10,"23",2,"inverse",6
"456",10,"24",3,"inverse",6
"457",10,"25",3,"basic",5
"458",10,"26",7,"basic",5
"459",10,"27",5,"basic",5
"460",10,"28",6,"inverse",5
"461",10,"29",4,"inverse",5
"462",10,"30",6,"inverse",5
"463",10,"31",5,"basic",4
"464",10,"32",6,"basic",4
"465",10,"33",3,"basic",4
"466",10,"34",6,"inverse",4
"467",10,"35",2,"inverse",4
"468",10,"36",5,"inverse",4
"469",10,"37",5,"basic",3
"470",10,"38",6,"basic",3
"471",10,"39",1,"basic",3
"472",10,"40",2,"inverse",3
"473",10,"41",7,"inverse",3
"474",10,"42",7,"inverse",3
"475",10,"43",3,"basic",2
"476",10,"44",5,"basic",2
"477",10,"45",7,"basic",2
"478",10,"46",7,"inverse",2
"479",10,"47",4,"inverse",2
"480",10,"48",5,"inverse",2
"481",11,"1",7,"basic",9
"482",11,"2",7,"basic",9
"483",11,"3",7,"basic",9
"484",11,"4",6,"inverse",9
"485",11,"5",7,"inverse",9
"486",11,"6",7,"inverse",9
"487",11,"7",7,"basic",8
"488",11,"8",7,"basic",8
"489",11,"9",7,"basic",8
"490",11,"10",7,"inverse",8
"491",11,"11",7,"inverse",8
"492",11,"12",7,"inverse",8
"493",11,"13",7,"basic",7
"494",11,"14",5,"basic",7
"495",11,"15",7,"basic",7
"496",11,"16",6,"inverse",7
"497",11,"17",5,"inverse",7
"498",11,"18",7,"inverse",7
"499",11,"19",7,"basic",6
"500",11,"20",7,"basic",6
"501",11,"21",7,"basic",6
"502",11,"22",7,"inverse",6
"503",11,"23",7,"inverse",6
"504",11,"24",7,"inverse",6
"505",11,"25",7,"basic",5
"506",11,"26",7,"basic",5
"507",11,"27",7,"basic",5
"508",11,"28",7,"inverse",5
"509",11,"29",7,"inverse",5
"510",11,"30",7,"inverse",5
"511",11,"31",6,"basic",4
"512",11,"32",7,"basic",4
"513",11,"33",6,"basic",4
"514",11,"34",7,"inverse",4
"515",11,"35",7,"inverse",4
"516",11,"36",7,"inverse",4
"517",11,"37",6,"basic",3
"518",11,"38",7,"basic",3
"519",11,"39",7,"basic",3
"520",11,"40",7,"inverse",3
"521",11,"41",7,"inverse",3
"522",11,"42",7,"inverse",3
"523",11,"43",3,"basic",2
"524",11,"44",7,"basic",2
"525",11,"45",7,"basic",2
"526",11,"46",7,"inverse",2
"527",11,"47",7,"inverse",2
"528",11,"48",6,"inverse",2
"529",12,"1",7,"basic",9
"530",12,"2",7,"basic",9
"531",12,"3",7,"basic",9
"532",12,"4",6,"inverse",9
"533",12,"5",7,"inverse",9
"534",12,"6",5,"inverse",9
"535",12,"7",7,"basic",8
"536",12,"8",7,"basic",8
"537",12,"9",6,"basic",8
"538",12,"10",7,"inverse",8
"539",12,"11",6,"inverse",8
"540",12,"12",7,"inverse",8
"541",12,"13",7,"basic",7
"542",12,"14",5,"basic",7
"543",12,"15",4,"basic",7
"544",12,"16",5,"inverse",7
"545",12,"17",6,"inverse",7
"546",12,"18",5,"inverse",7
"547",12,"19",7,"basic",6
"548",12,"20",7,"basic",6
"549",12,"21",7,"basic",6
"550",12,"22",5,"inverse",6
"551",12,"23",6,"inverse",6
"552",12,"24",7,"inverse",6
"553",12,"25",7,"basic",5
"554",12,"26",7,"basic",5
"555",12,"27",6,"basic",5
"556",12,"28",7,"inverse",5
"557",12,"29",7,"inverse",5
"558",12,"30",7,"inverse",5
"559",12,"31",7,"basic",4
"560",12,"32",7,"basic",4
"561",12,"33",7,"basic",4
"562",12,"34",7,"inverse",4
"563",12,"35",7,"inverse",4
"564",12,"36",7,"inverse",4
"565",12,"37",7,"basic",3
"566",12,"38",7,"basic",3
"567",12,"39",7,"basic",3
"568",12,"40",7,"inverse",3
"569",12,"41",7,"inverse",3
"570",12,"42",7,"inverse",3
"571",12,"43",7,"basic",2
"572",12,"44",7,"basic",2
"573",12,"45",7,"basic",2
"574",12,"46",7,"inverse",2
"575",12,"47",6,"inverse",2
"576",12,"48",7,"inverse",2
"577",13,"1",7,"basic",9
"578",13,"2",7,"basic",9
"579",13,"3",7,"basic",9
"580",13,"4",6,"inverse",9
"581",13,"5",7,"inverse",9
"582",13,"6",7,"inverse",9
"583",13,"7",7,"basic",8
"584",13,"8",5,"basic",8
"585",13,"9",6,"basic",8
"586",13,"10",5,"inverse",8
"587",13,"11",7,"inverse",8
"588",13,"12",6,"inverse",8
"589",13,"13",7,"basic",7
"590",13,"14",5,"basic",7
"591",13,"15",7,"basic",7
"592",13,"16",4,"inverse",7
"593",13,"17",6,"inverse",7
"594",13,"18",5,"inverse",7
"595",13,"19",7,"basic",6
"596",13,"20",7,"basic",6
"597",13,"21",7,"basic",6
"598",13,"22",5,"inverse",6
"599",13,"23",6,"inverse",6
"600",13,"24",7,"inverse",6
"601",13,"25",5,"basic",5
"602",13,"26",5,"basic",5
"603",13,"27",7,"basic",5
"604",13,"28",7,"inverse",5
"605",13,"29",6,"inverse",5
"606",13,"30",7,"inverse",5
"607",13,"31",5,"basic",4
"608",13,"32",4,"basic",4
"609",13,"33",7,"basic",4
"610",13,"34",6,"inverse",4
"611",13,"35",7,"inverse",4
"612",13,"36",6,"inverse",4
"613",13,"37",5,"basic",3
"614",13,"38",7,"basic",3
"615",13,"39",5,"basic",3
"616",13,"40",6,"inverse",3
"617",13,"41",7,"inverse",3
"618",13,"42",6,"inverse",3
"619",13,"43",7,"basic",2
"620",13,"44",7,"basic",2
"621",13,"45",7,"basic",2
"622",13,"46",5,"inverse",2
"623",13,"47",6,"inverse",2
"624",13,"48",4,"inverse",2
"625",14,"1",5,"basic",9
"626",14,"2",3,"basic",9
"627",14,"3",6,"basic",9
"628",14,"4",2,"inverse",9
"629",14,"5",6,"inverse",9
"630",14,"6",4,"inverse",9
"631",14,"7",3,"basic",8
"632",14,"8",4,"basic",8
"633",14,"9",3,"basic",8
"634",14,"10",5,"inverse",8
"635",14,"11",4,"inverse",8
"636",14,"12",4,"inverse",8
"637",14,"13",6,"basic",7
"638",14,"14",5,"basic",7
"639",14,"15",5,"basic",7
"640",14,"16",4,"inverse",7
"641",14,"17",2,"inverse",7
"642",14,"18",4,"inverse",7
"643",14,"19",5,"basic",6
"644",14,"20",5,"basic",6
"645",14,"21",6,"basic",6
"646",14,"22",2,"inverse",6
"647",14,"23",2,"inverse",6
"648",14,"24",6,"inverse",6
"649",14,"25",4,"basic",5
"650",14,"26",6,"basic",5
"651",14,"27",6,"basic",5
"652",14,"28",5,"inverse",5
"653",14,"29",6,"inverse",5
"654",14,"30",6,"inverse",5
"655",14,"31",4,"basic",4
"656",14,"32",5,"basic",4
"657",14,"33",6,"basic",4
"658",14,"34",4,"inverse",4
"659",14,"35",5,"inverse",4
"660",14,"36",5,"inverse",4
"661",14,"37",5,"basic",3
"662",14,"38",2,"basic",3
"663",14,"39",4,"basic",3
"664",14,"40",5,"inverse",3
"665",14,"41",6,"inverse",3
"666",14,"42",5,"inverse",3
"667",14,"43",4,"basic",2
"668",14,"44",3,"basic",2
"669",14,"45",6,"basic",2
"670",14,"46",4,"inverse",2
"671",14,"47",5,"inverse",2
"672",14,"48",3,"inverse",2
"673",15,"1",7,"basic",9
"674",15,"2",7,"basic",9
"675",15,"3",7,"basic",9
"676",15,"4",6,"inverse",9
"677",15,"5",7,"inverse",9
"678",15,"6",3,"inverse",9
"679",15,"7",6,"basic",8
"680",15,"8",7,"basic",8
"681",15,"9",7,"basic",8
"682",15,"10",7,"inverse",8
"683",15,"11",6,"inverse",8
"684",15,"12",6,"inverse",8
"685",15,"13",7,"basic",7
"686",15,"14",4,"basic",7
"687",15,"15",2,"basic",7
"688",15,"16",2,"inverse",7
"689",15,"17",6,"inverse",7
"690",15,"18",1,"inverse",7
"691",15,"19",7,"basic",6
"692",15,"20",7,"basic",6
"693",15,"21",6,"basic",6
"694",15,"22",7,"inverse",6
"695",15,"23",7,"inverse",6
"696",15,"24",7,"inverse",6
"697",15,"25",7,"basic",5
"698",15,"26",7,"basic",5
"699",15,"27",6,"basic",5
"700",15,"28",1,"inverse",5
"701",15,"29",6,"inverse",5
"702",15,"30",7,"inverse",5
"703",15,"31",7,"basic",4
"704",15,"32",7,"basic",4
"705",15,"33",1,"basic",4
"706",15,"34",7,"inverse",4
"707",15,"35",7,"inverse",4
"708",15,"36",7,"inverse",4
"709",15,"37",7,"basic",3
"710",15,"38",1,"basic",3
"711",15,"39",7,"basic",3
"712",15,"40",7,"inverse",3
"713",15,"41",7,"inverse",3
"714",15,"42",7,"inverse",3
"715",15,"43",7,"basic",2
"716",15,"44",7,"basic",2
"717",15,"45",7,"basic",2
"718",15,"46",7,"inverse",2
"719",15,"47",7,"inverse",2
"720",15,"48",7,"inverse",2
"721",16,"1",7,"basic",9
"722",16,"2",7,"basic",9
"723",16,"3",7,"basic",9
"724",16,"4",7,"inverse",9
"725",16,"5",7,"inverse",9
"726",16,"6",7,"inverse",9
"727",16,"7",7,"basic",8
"728",16,"8",7,"basic",8
"729",16,"9",6,"basic",8
"730",16,"10",7,"inverse",8
"731",16,"11",7,"inverse",8
"732",16,"12",7,"inverse",8
"733",16,"13",7,"basic",7
"734",16,"14",6,"basic",7
"735",16,"15",7,"basic",7
"736",16,"16",7,"inverse",7
"737",16,"17",7,"inverse",7
"738",16,"18",7,"inverse",7
"739",16,"19",7,"basic",6
"740",16,"20",7,"basic",6
"741",16,"21",7,"basic",6
"742",16,"22",7,"inverse",6
"743",16,"23",7,"inverse",6
"744",16,"24",7,"inverse",6
"745",16,"25",7,"basic",5
"746",16,"26",7,"basic",5
"747",16,"27",7,"basic",5
"748",16,"28",7,"inverse",5
"749",16,"29",7,"inverse",5
"750",16,"30",7,"inverse",5
"751",16,"31",7,"basic",4
"752",16,"32",7,"basic",4
"753",16,"33",7,"basic",4
"754",16,"34",7,"inverse",4
"755",16,"35",7,"inverse",4
"756",16,"36",7,"inverse",4
"757",16,"37",6,"basic",3
"758",16,"38",7,"basic",3
"759",16,"39",6,"basic",3
"760",16,"40",7,"inverse",3
"761",16,"41",7,"inverse",3
"762",16,"42",7,"inverse",3
"763",16,"43",7,"basic",2
"764",16,"44",7,"basic",2
"765",16,"45",7,"basic",2
"766",16,"46",7,"inverse",2
"767",16,"47",7,"inverse",2
"768",16,"48",7,"inverse",2
"769",17,"1",6,"basic",9
"770",17,"2",6,"basic",9
"771",17,"3",6,"basic",9
"772",17,"4",7,"inverse",9
"773",17,"5",5,"inverse",9
"774",17,"6",6,"inverse",9
"775",17,"7",3,"basic",8
"776",17,"8",6,"basic",8
"777",17,"9",6,"basic",8
"778",17,"10",3,"inverse",8
"779",17,"11",3,"inverse",8
"780",17,"12",5,"inverse",8
"781",17,"13",6,"basic",7
"782",17,"14",6,"basic",7
"783",17,"15",7,"basic",7
"784",17,"16",6,"inverse",7
"785",17,"17",2,"inverse",7
"786",17,"18",2,"inverse",7
"787",17,"19",6,"basic",6
"788",17,"20",6,"basic",6
"789",17,"21",2,"basic",6
"790",17,"22",6,"inverse",6
"791",17,"23",7,"inverse",6
"792",17,"24",6,"inverse",6
"793",17,"25",7,"basic",5
"794",17,"26",7,"basic",5
"795",17,"27",5,"basic",5
"796",17,"28",6,"inverse",5
"797",17,"29",6,"inverse",5
"798",17,"30",6,"inverse",5
"799",17,"31",5,"basic",4
"800",17,"32",6,"basic",4
"801",17,"33",4,"basic",4
"802",17,"34",7,"inverse",4
"803",17,"35",7,"inverse",4
"804",17,"36",6,"inverse",4
"805",17,"37",5,"basic",3
"806",17,"38",6,"basic",3
"807",17,"39",4,"basic",3
"808",17,"40",5,"inverse",3
"809",17,"41",6,"inverse",3
"810",17,"42",7,"inverse",3
"811",17,"43",6,"basic",2
"812",17,"44",6,"basic",2
"813",17,"45",5,"basic",2
"814",17,"46",5,"inverse",2
"815",17,"47",4,"inverse",2
"816",17,"48",3,"inverse",2
"817",18,"1",4,"basic",9
"818",18,"2",6,"basic",9
"819",18,"3",4,"basic",9
"820",18,"4",5,"inverse",9
"821",18,"5",5,"inverse",9
"822",18,"6",5,"inverse",9
"823",18,"7",6,"basic",8
"824",18,"8",3,"basic",8
"825",18,"9",4,"basic",8
"826",18,"10",6,"inverse",8
"827",18,"11",4,"inverse",8
"828",18,"12",5,"inverse",8
"829",18,"13",7,"basic",7
"830",18,"14",5,"basic",7
"831",18,"15",5,"basic",7
"832",18,"16",3,"inverse",7
"833",18,"17",6,"inverse",7
"834",18,"18",5,"inverse",7
"835",18,"19",6,"basic",6
"836",18,"20",6,"basic",6
"837",18,"21",6,"basic",6
"838",18,"22",5,"inverse",6
"839",18,"23",3,"inverse",6
"840",18,"24",6,"inverse",6
"841",18,"25",3,"basic",5
"842",18,"26",5,"basic",5
"843",18,"27",5,"basic",5
"844",18,"28",4,"inverse",5
"845",18,"29",3,"inverse",5
"846",18,"30",5,"inverse",5
