"","X","subject","item","Rating","Caus","Trans"
"77",77,"2","37","6","Poss","2"
"78",78,"2","38","7","Poss","2"
"79",79,"2","39","7","Poss","2"
"80",80,"2","40","7","Poss","1"
"81",81,"3","1","7","Phys","9"
"82",82,"3","2","6","Phys","6"
"83",83,"3","3","6","Phys","9"
"84",84,"3","4","7","Phys","6"
"85",85,"3","5","7","Phys","5"
"86",86,"3","6","7","Phys","7"
"87",87,"3","7","5","Phys","9"
"88",88,"3","8","7","Phys","5"
"89",89,"3","9","7","Inst","7"
"90",90,"3","10","7","Inst","5"
"91",91,"3","11","5","Inst","7"
"92",92,"3","12","6","Inst","5"
"93",93,"3","13","6","Inst","8"
"94",94,"3","14","6","Inst","4"
"95",95,"3","15","5","Inst","3"
"96",96,"3","16","6","Inst","5"
"97",97,"3","17","6","Aff","4"
"98",98,"3","18","7","Aff","5"
"99",99,"3","19","7","Aff","5"
"100",100,"3","20","7","Aff","5"
"101",101,"3","21","6","Aff","4"
"102",102,"3","22","7","Aff","5"
"103",103,"3","23","6","Aff","5"
"104",104,"3","24","7","Aff","5"
"105",105,"3","25","7","Loc","4"
"106",106,"3","26","6","Loc","3"
"107",107,"3","27","7","Loc","4"
"108",108,"3","28","6","Loc","3"
"109",109,"3","29","7","Loc","3"
"110",110,"3","30","6","Loc","3"
"111",111,"3","31","7","Loc","2"
"112",112,"3","32","7","Loc","3"
"113",113,"3","33","7","Poss","2"
"114",114,"3","34","7","Poss","2"
"115",115,"3","35","6","Poss","2"
"116",116,"3","36","6","Poss","1"
"117",117,"3","37","6","Poss","2"
"118",118,"3","38","7","Poss","2"
"119",119,"3","39","7","Poss","2"
"120",120,"3","40","6","Poss","1"
"121",121,"4","1","5","Phys","9"
"122",122,"4","2","3","Phys","6"
"123",123,"4","3","6","Phys","9"
"124",124,"4","4","5","Phys","6"
"125",125,"4","5","5","Phys","5"
"126",126,"4","6","6","Phys","7"
"127",127,"4","7","2","Phys","9"
"128",128,"4","8","6","Phys","5"
"129",129,"4","9","1","Inst","7"
"130",130,"4","10","2","Inst","5"
"131",131,"4","11","2","Inst","7"
"132",132,"4","12","1","Inst","5"
"133",133,"4","13","3","Inst","8"
"134",134,"4","14","1","Inst","4"
"135",135,"4","15","1","Inst","3"
"136",136,"4","16","2","Inst","5"
"137",137,"4","17","1","Aff","4"
"138",138,"4","18","5","Aff","5"
"139",139,"4","19","3","Aff","5"
"140",140,"4","20","5","Aff","5"
"141",141,"4","21","6","Aff","4"
"142",142,"4","22","6","Aff","5"
"143",143,"4","23","5","Aff","5"
"144",144,"4","24","3","Aff","5"
"145",145,"4","25","6","Loc","4"
"146",146,"4","26","6","Loc","3"
"147",147,"4","27","6","Loc","4"
"148",148,"4","28","5","Loc","3"
"149",149,"4","29","5","Loc","3"
"150",150,"4","30","7","Loc","3"
"151",151,"4","31","7","Loc","2"
"152",152,"4","32","6","Loc","3"
"153",153,"4","33","6","Poss","2"
"154",154,"4","34","5","Poss","2"
"155",155,"4","35","7","Poss","2"
"156",156,"4","36","7","Poss","1"
"157",157,"4","37","6","Poss","2"
"158",158,"4","38","6","Poss","2"
"159",159,"4","39","7","Poss","2"
"160",160,"4","40","5","Poss","1"
"161",161,"5","1","7","Phys","9"
"162",162,"5","2","6","Phys","6"
"163",163,"5","3","7","Phys","9"
"164",164,"5","4","7","Phys","6"
"165",165,"5","5","7","Phys","5"
"166",166,"5","6","7","Phys","7"
"167",167,"5","7","7","Phys","9"
"168",168,"5","8","7","Phys","5"
"169",169,"5","9","7","Inst","7"
"170",170,"5","10","6","Inst","5"
"171",171,"5","11","6","Inst","7"
"172",172,"5","12","6","Inst","5"
"173",173,"5","13","7","Inst","8"
"174",174,"5","14","5","Inst","4"
"175",175,"5","15","5","Inst","3"
"176",176,"5","16","7","Inst","5"
"177",177,"5","17","7","Aff","4"
"178",178,"5","18","7","Aff","5"
"179",179,"5","19","7","Aff","5"
"180",180,"5","20","7","Aff","5"
"181",181,"5","21","7","Aff","4"
"182",182,"5","22","7","Aff","5"
"183",183,"5","23","7","Aff","5"
"184",184,"5","24","7","Aff","5"
"185",185,"5","25","7","Loc","4"
"186",186,"5","26","7","Loc","3"
"187",187,"5","27","7","Loc","4"
"188",188,"5","28","7","Loc","3"
"189",189,"5","29","7","Loc","3"
"190",190,"5","30","7","Loc","3"
"191",191,"5","31","7","Loc","2"
"192",192,"5","32","7","Loc","3"
"193",193,"5","33","7","Poss","2"
"194",194,"5","34","7","Poss","2"
"195",195,"5","35","7","Poss","2"
"196",196,"5","36","7","Poss","1"
"197",197,"5","37","7","Poss","2"
"198",198,"5","38","7","Poss","2"
"199",199,"5","39","7","Poss","2"
"200",200,"5","40","7","Poss","1"
"201",201,"6","1","3","Phys","9"
"202",202,"6","2","5","Phys","6"
"203",203,"6","3","7","Phys","9"
"204",204,"6","4","3","Phys","6"
"205",205,"6","5","3","Phys","5"
"206",206,"6","6","6","Phys","7"
"207",207,"6","7","4","Phys","9"
"208",208,"6","8","5","Phys","5"
"209",209,"6","9","4","Inst","7"
"210",210,"6","10","2","Inst","5"
"211",211,"6","11","2","Inst","7"
"212",212,"6","12","3","Inst","5"
"213",213,"6","13","2","Inst","8"
"214",214,"6","14","2","Inst","4"
"215",215,"6","15","3","Inst","3"
"216",216,"6","16","5","Inst","5"
"217",217,"6","17","6","Aff","4"
"218",218,"6","18","6","Aff","5"
"219",219,"6","19","7","Aff","5"
"220",220,"6","20","7","Aff","5"
"221",221,"6","21","6","Aff","4"
"222",222,"6","22","7","Aff","5"
"223",223,"6","23","6","Aff","5"
"224",224,"6","24","6","Aff","5"
"225",225,"6","25","7","Loc","4"
"226",226,"6","26","5","Loc","3"
"227",227,"6","27","5","Loc","4"
"228",228,"6","28","5","Loc","3"
"229",229,"6","29","5","Loc","3"
"230",230,"6","30","6","Loc","3"
"231",231,"6","31","7","Loc","2"
"232",232,"6","32","7","Loc","3"
"233",233,"6","33","7","Poss","2"
"234",234,"6","34","5","Poss","2"
"235",235,"6","35","7","Poss","2"
"236",236,"6","36","7","Poss","1"
"237",237,"6","37","3","Poss","2"
"238",238,"6","38","5","Poss","2"
"239",239,"6","39","7","Poss","2"
"240",240,"6","40","7","Poss","1"
"241",241,"7","1","7","Phys","9"
"242",242,"7","2","5","Phys","6"
"243",243,"7","3","6","Phys","9"
"244",244,"7","4","7","Phys","6"
"245",245,"7","5","5","Phys","5"
"246",246,"7","6","3","Phys","7"
"247",247,"7","7","3","Phys","9"
"248",248,"7","8","5","Phys","5"
"249",249,"7","9","3","Inst","7"
"250",250,"7","10","5","Inst","5"
"251",251,"7","11","5","Inst","7"
"252",252,"7","12","3","Inst","5"
"253",253,"7","13","5","Inst","8"
"254",254,"7","14","2","Inst","4"
"255",255,"7","15","3","Inst","3"
"256",256,"7","16","3","Inst","5"
"257",257,"7","17","3","Aff","4"
"258",258,"7","18","6","Aff","5"
"259",259,"7","19","6","Aff","5"
"260",260,"7","20","3","Aff","5"
"261",261,"7","21","7","Aff","4"
"262",262,"7","22","3","Aff","5"
"263",263,"7","23","2","Aff","5"
"264",264,"7","24","2","Aff","5"
"265",265,"7","25","6","Loc","4"
"266",266,"7","26","5","Loc","3"
"267",267,"7","27","6","Loc","4"
"268",268,"7","28","3","Loc","3"
"269",269,"7","29","6","Loc","3"
"270",270,"7","30","6","Loc","3"
"271",271,"7","31","6","Loc","2"
"272",272,"7","32","3","Loc","3"
"273",273,"7","33","7","Poss","2"
"274",274,"7","34","6","Poss","2"
"275",275,"7","35","7","Poss","2"
"276",276,"7","36","7","Poss","1"
"277",277,"7","37","3","Poss","2"
"278",278,"7","38","5","Poss","2"
"279",279,"7","39","6","Poss","2"
"280",280,"7","40","7","Poss","1"
"281",281,"8","1","5","Phys","9"
"282",282,"8","2","5","Phys","6"
"283",283,"8","3","4","Phys","9"
"284",284,"8","4","6","Phys","6"
"285",285,"8","5","7","Phys","5"
"286",286,"8","6","7","Phys","7"
"287",287,"8","7","4","Phys","9"
"288",288,"8","8","6","Phys","5"
"289",289,"8","9","1","Inst","7"
"290",290,"8","10","3","Inst","5"
"291",291,"8","11","3","Inst","7"
"292",292,"8","12","2","Inst","5"
"293",293,"8","13","3","Inst","8"
"294",294,"8","14","1","Inst","4"
"295",295,"8","15","2","Inst","3"
"296",296,"8","16","3","Inst","5"
"297",297,"8","17","5","Aff","4"
"298",298,"8","18","7","Aff","5"
"299",299,"8","19","6","Aff","5"
"300",300,"8","20","6","Aff","5"
"301",301,"8","21","6","Aff","4"
"302",302,"8","22","7","Aff","5"
"303",303,"8","23","7","Aff","5"
"304",304,"8","24","3","Aff","5"
"305",305,"8","25","7","Loc","4"
"306",306,"8","26","6","Loc","3"
"307",307,"8","27","6","Loc","4"
"308",308,"8","28","4","Loc","3"
"309",309,"8","29","5","Loc","3"
"310",310,"8","30","7","Loc","3"
"311",311,"8","31","7","Loc","2"
"312",312,"8","32","7","Loc","3"
"313",313,"8","33","7","Poss","2"
"314",314,"8","34","7","Poss","2"
"315",315,"8","35","5","Poss","2"
"316",316,"8","36","7","Poss","1"
"317",317,"8","37","7","Poss","2"
"318",318,"8","38","6","Poss","2"
"319",319,"8","39","7","Poss","2"
"320",320,"8","40","7","Poss","1"
"321",321,"9","1","7","Phys","9"
"322",322,"9","2","6","Phys","6"
"323",323,"9","3","5","Phys","9"
"324",324,"9","4","5","Phys","6"
"325",325,"9","5","4","Phys","5"
"326",326,"9","6","5","Phys","7"
"327",327,"9","7","5","Phys","9"
"328",328,"9","8","1","Phys","5"
"329",329,"9","9","1","Inst","7"
"330",330,"9","10","1","Inst","5"
"331",331,"9","11","1","Inst","7"
"332",332,"9","12","1","Inst","5"
"333",333,"9","13","1","Inst","8"
"334",334,"9","14","1","Inst","4"
"335",335,"9","15","1","Inst","3"
"336",336,"9","16","1","Inst","5"
"337",337,"9","17","3","Aff","4"
"338",338,"9","18","7","Aff","5"
"339",339,"9","19","5","Aff","5"
"340",340,"9","20","2","Aff","5"
"341",341,"9","21","4","Aff","4"
"342",342,"9","22","7","Aff","5"
"343",343,"9","23","5","Aff","5"
"344",344,"9","24","1","Aff","5"
"345",345,"9","25","5","Loc","4"
"346",346,"9","26","5","Loc","3"
"347",347,"9","27","1","Loc","4"
"348",348,"9","28","1","Loc","3"
"349",349,"9","29","1","Loc","3"
"350",350,"9","30","4","Loc","3"
"351",351,"9","31","6","Loc","2"
"352",352,"9","32","5","Loc","3"
"353",353,"9","33","7","Poss","2"
"354",354,"9","34","5","Poss","2"
"355",355,"9","35","6","Poss","2"
"356",356,"9","36","7","Poss","1"
"357",357,"9","37","7","Poss","2"
"358",358,"9","38","5","Poss","2"
"359",359,"9","39","5","Poss","2"
"360",360,"9","40","7","Poss","1"
"361",361,"10","1","4","Phys","9"
"362",362,"10","2","4","Phys","6"
"363",363,"10","3","4","Phys","9"
"364",364,"10","4","4","Phys","6"
"365",365,"10","5","4","Phys","5"
"366",366,"10","6","4","Phys","7"
"367",367,"10","7","4","Phys","9"
"368",368,"10","8","4","Phys","5"
"369",369,"10","9","1","Inst","7"
"370",370,"10","10","4","Inst","5"
"371",371,"10","11","4","Inst","7"
"372",372,"10","12","4","Inst","5"
"373",373,"10","13","4","Inst","8"
"374",374,"10","14","4","Inst","4"
"375",375,"10","15","4","Inst","3"
"376",376,"10","16","4","Inst","5"
"377",377,"10","17","7","Aff","4"
"378",378,"10","18","5","Aff","5"
"379",379,"10","19","4","Aff","5"
"380",380,"10","20","4","Aff","5"
"381",381,"10","21","4","Aff","4"
"382",382,"10","22","4","Aff","5"
"383",383,"10","23","4","Aff","5"
"384",384,"10","24","4","Aff","5"
"385",385,"10","25","4","Loc","4"
"386",386,"10","26","4","Loc","3"
"387",387,"10","27","4","Loc","4"
"388",388,"10","28","6","Loc","3"
"389",389,"10","29","4","Loc","3"
"390",390,"10","30","4","Loc","3"
"391",391,"10","31","5","Loc","2"
"392",392,"10","32","4","Loc","3"
"393",393,"10","33","7","Poss","2"
"394",394,"10","34","7","Poss","2"
"395",395,"10","35","7","Poss","2"
"396",396,"10","36","7","Poss","1"
"397",397,"10","37","4","Poss","2"
"398",398,"10","38","6","Poss","2"
"399",399,"10","39","6","Poss","2"
"400",400,"10","40","4","Poss","1"
"401",401,"11","1","6","Phys","9"
"402",402,"11","2","5","Phys","6"
"403",403,"11","3","7","Phys","9"
"404",404,"11","4","6","Phys","6"
"405",405,"11","5","7","Phys","5"
"406",406,"11","6","7","Phys","7"
"407",407,"11","7","6","Phys","9"
"408",408,"11","8","5","Phys","5"
"409",409,"11","9","2","Inst","7"
"410",410,"11","10","3","Inst","5"
"411",411,"11","11","3","Inst","7"
"412",412,"11","12","4","Inst","5"
"413",413,"11","13","3","Inst","8"
"414",414,"11","14","3","Inst","4"
"415",415,"11","15","2","Inst","3"
"416",416,"11","16","4","Inst","5"
"417",417,"11","17","2","Aff","4"
"418",418,"11","18","6","Aff","5"
"419",419,"11","19","6","Aff","5"
"420",420,"11","20","5","Aff","5"
"421",421,"11","21","5","Aff","4"
"422",422,"11","22","3","Aff","5"
"423",423,"11","23","7","Aff","5"
"424",424,"11","24","3","Aff","5"
"425",425,"11","25","7","Loc","4"
"426",426,"11","26","6","Loc","3"
"427",427,"11","27","7","Loc","4"
"428",428,"11","28","3","Loc","3"
"429",429,"11","29","6","Loc","3"
"430",430,"11","30","7","Loc","3"
"431",431,"11","31","7","Loc","2"
"432",432,"11","32","7","Loc","3"
"433",433,"11","33","7","Poss","2"
"434",434,"11","34","6","Poss","2"
"435",435,"11","35","7","Poss","2"
"436",436,"11","36","7","Poss","1"
"437",437,"11","37","7","Poss","2"
"438",438,"11","38","7","Poss","2"
"439",439,"11","39","7","Poss","2"
"440",440,"11","40","7","Poss","1"
"441",441,"12","1","6","Phys","9"
"442",442,"12","2","5","Phys","6"
"443",443,"12","3","6","Phys","9"
"444",444,"12","4","4","Phys","6"
"445",445,"12","5","6","Phys","5"
"446",446,"12","6","4","Phys","7"
"447",447,"12","7","5","Phys","9"
"448",448,"12","8","6","Phys","5"
"449",449,"12","9","2","Inst","7"
"450",450,"12","10","4","Inst","5"
"451",451,"12","11","6","Inst","7"
"452",452,"12","12","3","Inst","5"
"453",453,"12","13","5","Inst","8"
"454",454,"12","14","2","Inst","4"
"455",455,"12","15","1","Inst","3"
"456",456,"12","16","6","Inst","5"
"457",457,"12","17","5","Aff","4"
"458",458,"12","18","5","Aff","5"
"459",459,"12","19","5","Aff","5"
"460",460,"12","20","7","Aff","5"
"461",461,"12","21","5","Aff","4"
"462",462,"12","22","5","Aff","5"
"463",463,"12","23","4","Aff","5"
"464",464,"12","24","3","Aff","5"
"465",465,"12","25","7","Loc","4"
"466",466,"12","26","5","Loc","3"
"467",467,"12","27","6","Loc","4"
"468",468,"12","28","5","Loc","3"
"469",469,"12","29","6","Loc","3"
"470",470,"12","30","6","Loc","3"
"471",471,"12","31","6","Loc","2"
"472",472,"12","32","5","Loc","3"
"473",473,"12","33","7","Poss","2"
"474",474,"12","34","6","Poss","2"
"475",475,"12","35","7","Poss","2"
"476",476,"12","36","6","Poss","1"
"477",477,"12","37","5","Poss","2"
"478",478,"12","38","4","Poss","2"
"479",479,"12","39","7","Poss","2"
"480",480,"12","40","4","Poss","1"
"481",481,"13","1","7","Phys","9"
"482",482,"13","2","5","Phys","6"
"483",483,"13","3","7","Phys","9"
"484",484,"13","4","7","Phys","6"
"485",485,"13","5","3","Phys","5"
"486",486,"13","6","7","Phys","7"
"487",487,"13","7","7","Phys","9"
"488",488,"13","8","7","Phys","5"
"489",489,"13","9","1","Inst","7"
"490",490,"13","10","2","Inst","5"
"491",491,"13","11","3","Inst","7"
"492",492,"13","12","1","Inst","5"
"493",493,"13","13","3","Inst","8"
"494",494,"13","14","1","Inst","4"
"495",495,"13","15","1","Inst","3"
"496",496,"13","16","1","Inst","5"
"497",497,"13","17","1","Aff","4"
"498",498,"13","18","7","Aff","5"
"499",499,"13","19","7","Aff","5"
"500",500,"13","20","7","Aff","5"
"501",501,"13","21","7","Aff","4"
"502",502,"13","22","7","Aff","5"
"503",503,"13","23","7","Aff","5"
"504",504,"13","24","2","Aff","5"
"505",505,"13","25","7","Loc","4"
"506",506,"13","26","6","Loc","3"
"507",507,"13","27","7","Loc","4"
"508",508,"13","28","7","Loc","3"
"509",509,"13","29","7","Loc","3"
"510",510,"13","30","7","Loc","3"
"511",511,"13","31","7","Loc","2"
"512",512,"13","32","7","Loc","3"
"513",513,"13","33","7","Poss","2"
"514",514,"13","34","7","Poss","2"
"515",515,"13","35","7","Poss","2"
"516",516,"13","36","7","Poss","1"
"517",517,"13","37","7","Poss","2"
"518",518,"13","38","7","Poss","2"
"519",519,"13","39","7","Poss","2"
"520",520,"13","40","7","Poss","1"
"521",521,"14","1","5","Phys","9"
"522",522,"14","2","4","Phys","6"
"523",523,"14","3","7","Phys","9"
"524",524,"14","4","6","Phys","6"
"525",525,"14","5","5","Phys","5"
"526",526,"14","6","3","Phys","7"
"527",527,"14","7","5","Phys","9"
"528",528,"14","8","2","Phys","5"
"529",529,"14","9","1","Inst","7"
"530",530,"14","10","3","Inst","5"
"531",531,"14","11","3","Inst","7"
"532",532,"14","12","2","Inst","5"
"533",533,"14","13","3","Inst","8"
"534",534,"14","14","1","Inst","4"
"535",535,"14","15","1","Inst","3"
"536",536,"14","16","2","Inst","5"
"537",537,"14","17","3","Aff","4"
"538",538,"14","18","6","Aff","5"
"539",539,"14","19","6","Aff","5"
"540",540,"14","20","6","Aff","5"
"541",541,"14","21","5","Aff","4"
"542",542,"14","22","3","Aff","5"
"543",543,"14","23","5","Aff","5"
"544",544,"14","24","3","Aff","5"
"545",545,"14","25","7","Loc","4"
"546",546,"14","26","7","Loc","3"
"547",547,"14","27","6","Loc","4"
"548",548,"14","28","5","Loc","3"
"549",549,"14","29","5","Loc","3"
"550",550,"14","30","7","Loc","3"
"551",551,"14","31","7","Loc","2"
"552",552,"14","32","2","Loc","3"
"553",553,"14","33","6","Poss","2"
"554",554,"14","34","7","Poss","2"
"555",555,"14","35","7","Poss","2"
"556",556,"14","36","7","Poss","1"
"557",557,"14","37","1","Poss","2"
"558",558,"14","38","6","Poss","2"
"559",559,"14","39","7","Poss","2"
"560",560,"14","40","7","Poss","1"
"561",561,"15","1","7","Phys","9"
"562",562,"15","2","3","Phys","6"
"563",563,"15","3","7","Phys","9"
"564",564,"15","4","7","Phys","6"
"565",565,"15","5","4","Phys","5"
"566",566,"15","6","6","Phys","7"
"567",567,"15","7","2","Phys","9"
"568",568,"15","8","5","Phys","5"
"569",569,"15","9","1","Inst","7"
"570",570,"15","10","5","Inst","5"
"571",571,"15","11","3","Inst","7"
"572",572,"15","12","3","Inst","5"
"573",573,"15","13","3","Inst","8"
"574",574,"15","14","1","Inst","4"
"575",575,"15","15","1","Inst","3"
"576",576,"15","16","3","Inst","5"
"577",577,"15","17","6","Aff","4"
"578",578,"15","18","6","Aff","5"
"579",579,"15","19","7","Aff","5"
"580",580,"15","20","7","Aff","5"
"581",581,"15","21","6","Aff","4"
"582",582,"15","22","6","Aff","5"
"583",583,"15","23","5","Aff","5"
"584",584,"15","24","2","Aff","5"
"585",585,"15","25","7","Loc","4"
"586",586,"15","26","5","Loc","3"
"587",587,"15","27","5","Loc","4"
"588",588,"15","28","7","Loc","3"
"589",589,"15","29","7","Loc","3"
"590",590,"15","30","6","Loc","3"
"591",591,"15","31","7","Loc","2"
"592",592,"15","32","7","Loc","3"
"593",593,"15","33","6","Poss","2"
"594",594,"15","34","6","Poss","2"
"595",595,"15","35","7","Poss","2"
"596",596,"15","36","6","Poss","1"
"597",597,"15","37","4","Poss","2"
"598",598,"15","38","7","Poss","2"
"599",599,"15","39","6","Poss","2"
"600",600,"15","40","7","Poss","1"
"601",601,"16","1","7","Phys","9"
"602",602,"16","2","7","Phys","6"
"603",603,"16","3","7","Phys","9"
"604",604,"16","4","7","Phys","6"
"605",605,"16","5","7","Phys","5"
"606",606,"16","6","7","Phys","7"
"607",607,"16","7","7","Phys","9"
"608",608,"16","8","7","Phys","5"
"609",609,"16","9","7","Inst","7"
"610",610,"16","10","6","Inst","5"
"611",611,"16","11","6","Inst","7"
"612",612,"16","12","6","Inst","5"
"613",613,"16","13","7","Inst","8"
"614",614,"16","14","5","Inst","4"
"615",615,"16","15","5","Inst","3"
"616",616,"16","16","7","Inst","5"
"617",617,"16","17","7","Aff","4"
"618",618,"16","18","7","Aff","5"
"619",619,"16","19","7","Aff","5"
"620",620,"16","20","7","Aff","5"
"621",621,"16","21","7","Aff","4"
"622",622,"16","22","7","Aff","5"
"623",623,"16","23","7","Aff","5"
"624",624,"16","24","7","Aff","5"
"625",625,"16","25","7","Loc","4"
"626",626,"16","26","7","Loc","3"
"627",627,"16","27","7","Loc","4"
"628",628,"16","28","7","Loc","3"
"629",629,"16","29","7","Loc","3"
"630",630,"16","30","7","Loc","3"
"631",631,"16","31","7","Loc","2"
"632",632,"16","32","7","Loc","3"
"633",633,"16","33","7","Poss","2"
"634",634,"16","34","7","Poss","2"
"635",635,"16","35","7","Poss","2"
"636",636,"16","36","7","Poss","1"
"637",637,"16","37","7","Poss","2"
"638",638,"16","38","7","Poss","2"
"639",639,"16","39","7","Poss","2"
"640",640,"16","40","7","Poss","1"
"641",641,"17","1","5","Phys","9"
"642",642,"17","2","3","Phys","6"
"643",643,"17","3","6","Phys","9"
"644",644,"17","4","5","Phys","6"
"645",645,"17","5","6","Phys","5"
"646",646,"17","6","7","Phys","7"
"647",647,"17","7","6","Phys","9"
"648",648,"17","8","6","Phys","5"
"649",649,"17","9","1","Inst","7"
"650",650,"17","10","4","Inst","5"
"651",651,"17","11","3","Inst","7"
"652",652,"17","12","6","Inst","5"
"653",653,"17","13","2","Inst","8"
"654",654,"17","14","1","Inst","4"
"655",655,"17","15","3","Inst","3"
"656",656,"17","16","6","Inst","5"
"657",657,"17","17","5","Aff","4"
"658",658,"17","18","6","Aff","5"
"659",659,"17","19","6","Aff","5"
"660",660,"17","20","6","Aff","5"
"661",661,"17","21","6","Aff","4"
"662",662,"17","22","5","Aff","5"
"663",663,"17","23","6","Aff","5"
"664",664,"17","24","5","Aff","5"
"665",665,"17","25","7","Loc","4"
"666",666,"17","26","6","Loc","3"
"667",667,"17","27","6","Loc","4"
"668",668,"17","28","6","Loc","3"
"669",669,"17","29","6","Loc","3"
"670",670,"17","30","7","Loc","3"
"671",671,"17","31","7","Loc","2"
"672",672,"17","32","6","Loc","3"
"673",673,"17","33","6","Poss","2"
"674",674,"17","34","7","Poss","2"
"675",675,"17","35","7","Poss","2"
"676",676,"17","36","7","Poss","1"
"677",677,"17","37","5","Poss","2"
"678",678,"17","38","7","Poss","2"
"679",679,"17","39","5","Poss","2"
"680",680,"17","40","5","Poss","1"
"681",681,"18","1","6","Phys","9"
"682",682,"18","2","6","Phys","6"
"683",683,"18","3","4","Phys","9"
"684",684,"18","4","6","Phys","6"
"685",685,"18","5","5","Phys","5"
"686",686,"18","6","6","Phys","7"
"687",687,"18","7","2","Phys","9"
"688",688,"18","8","5","Phys","5"
"689",689,"18","9","1","Inst","7"
"690",690,"18","10","2","Inst","5"
"691",691,"18","11","2","Inst","7"
"692",692,"18","12","2","Inst","5"
"693",693,"18","13","2","Inst","8"
"694",694,"18","14","1","Inst","4"
"695",695,"18","15","1","Inst","3"
"696",696,"18","16","2","Inst","5"
"697",697,"18","17","5","Aff","4"
"698",698,"18","18","6","Aff","5"
"699",699,"18","19","6","Aff","5"
"700",700,"18","20","3","Aff","5"
"701",701,"18","21","7","Aff","4"
"702",702,"18","22","6","Aff","5"
"703",703,"18","23","7","Aff","5"
"704",704,"18","24","3","Aff","5"
"705",705,"18","25","7","Loc","4"
"706",706,"18","26","6","Loc","3"
"707",707,"18","27","4","Loc","4"
"708",708,"18","28","6","Loc","3"
"709",709,"18","29","5","Loc","3"
"710",710,"18","30","7","Loc","3"
"711",711,"18","31","6","Loc","2"
"712",712,"18","32","7","Loc","3"
"713",713,"18","33","7","Poss","2"
"714",714,"18","34","5","Poss","2"
"715",715,"18","35","7","Poss","2"
"716",716,"18","36","6","Poss","1"
"717",717,"18","37","7","Poss","2"
"718",718,"18","38","7","Poss","2"
"719",719,"18","39","6","Poss","2"
"720",720,"18","40","7","Poss","1"
"721",721,"19","1","7","Phys","9"
"722",722,"19","2","6","Phys","6"
"723",723,"19","3","7","Phys","9"
"724",724,"19","4","7","Phys","6"
"725",725,"19","5","7","Phys","5"
"726",726,"19","6","5","Phys","7"
"727",727,"19","7","1","Phys","9"
"728",728,"19","8","4","Phys","5"
"729",729,"19","9","1","Inst","7"
"730",730,"19","10","1","Inst","5"
"731",731,"19","11","1","Inst","7"
"732",732,"19","12","1","Inst","5"
"733",733,"19","13","1","Inst","8"
"734",734,"19","14","1","Inst","4"
